name,description,image,external_url,Membership No.,Membership Type
Membro NFT #0,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #0,Regular
Membro NFT #1,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #1,Regular
Membro NFT #2,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #2,Regular
Membro NFT #3,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #3,Regular
Membro NFT #4,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #4,Regular
Membro NFT #5,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #5,Regular
Membro NFT #6,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #6,Regular
Membro NFT #7,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #7,Regular
Membro NFT #8,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #8,Regular
Membro NFT #9,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #9,Regular
Membro NFT #10,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #10,Regular
Membro NFT #11,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #11,Regular
Membro NFT #12,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #12,Regular
Membro NFT #13,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #13,Regular
Membro NFT #14,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #14,Regular
Membro NFT #15,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #15,Regular
Membro NFT #16,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #16,Regular
Membro NFT #17,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #17,Regular
Membro NFT #18,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #18,Regular
Membro NFT #19,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #19,Regular
Membro NFT #20,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #20,Regular
Membro NFT #21,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #21,Regular
Membro NFT #22,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #22,Regular
Membro NFT #23,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #23,Regular
Membro NFT #24,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #24,Regular
Membro NFT #25,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #25,Regular
Membro NFT #26,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #26,Regular
Membro NFT #27,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #27,Regular
Membro NFT #28,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #28,Regular
Membro NFT #29,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #29,Regular
Membro NFT #30,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #30,Regular
Membro NFT #31,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #31,Regular
Membro NFT #32,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #32,Regular
Membro NFT #33,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #33,Regular
Membro NFT #34,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #34,Regular
Membro NFT #35,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #35,Regular
Membro NFT #36,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #36,Regular
Membro NFT #37,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #37,Regular
